cod_cliente;inscri_estad;cnpj_basico;cnpj_ordem;cnpj_dv;cidade;estado;bairro;cep;logradouro;num;cnae;cod_cidade;cod_praca;praca;num_regiao;regiao;lat;long;ramo_atv;nome
3137;7,98757E+11;37575240;1;24;BRASILIA;DF;SETOR DE HABITAÇOES INDIVIDUAIS SUL;71625205;SETOR SHIS QI 11;S/N;;5300108;1;ASA SUL;;;;;;MUVE COMER. DE ALIMENTOS LTDA
2681;7,855E+11;30220714;1;76;BRASILIA;DF;ASA SUL;70381525;SCR/SUL, QUADRA 516;S/N;;5300108;1;ASA SUL;1;BRASILIA - DF;;;;BSB - CO-WERKING E SERVICOS EMPRESARIAIS 192DF EIRELI
652;7,93232E+11;4972092;60;82;BRASILIA;DF;ASA SUL;70275510;CLS 212 BLOCO A ;S/N;;5300108;1;ASA SUL;1;BRASILIA - DF;-15.826.482;-47.910.888;1;GRUPO FARTURA DE HORTIFRUT S.A. - 212 SUL
1328;7,77116E+11;24971040;1;49;BRASILIA;DF;AEROPORTO;71608900;AER INTER DE BRAS PRES JUSCELINO KUBITSCHEK ST;1;;5300108;2;LAGO SUL/SAO SEBASTIAO;1;BRASILIA - DF;-15.819.221;-47.915.457;;JK SELETA COMERCIO DE ALIMENTOS L
843;7,6856E+11;20445811;1;3;BRASÍLIA;DF;ASA SUL;70255000;"SHC/S SQ 406 BLOCO A"" PLL 1""";406;;5300108;1;ASA SUL;1;BRASILIA - DF;;;;PB CONVENIENCIA E BEBIDAS LTDA
3584;7,72326E+11;22554085;1;92;BRASILIA;DF;ASA NORTE;70757010;QUADRA SQN 311 BLOCO A;40;;5300108;1;ASA SUL;;;;;14;MENDES E NEIRA COMERCIO VAREJISTA LTDA - ME
4456;8,03923E+11;41070914;1;6;BRASILIA;DF;ASA NORTE;70846530;SHCN CL 405;S/N;;5300108;3;ASA NORTE/SOFN/NOROESTE;1;BRASILIA - DF;;;7;RNATURAL COMERCIO DE ALIMENTOS LTDA
3716;7,70144E+11;21352545;3;7;BRASILIA;DF;SETOR SUDOESTE;70673073;QUADRA CLSW 300B BLOCO 1;25;;5300108;1;ASA SUL;;;;;25;FAGUNDES & MELO COMERCIO VAREJISTA DE ALIMENTOS LTDA
4242;7,78425E+11;26219776;1;90;BRASILIA;DF;ASA SUL;70234530;T CLS 204 ;S/N;;5300108;1;ASA SUL;1;BRASILIA - DF;;;7;CUMARIM COMERCIO DE ALIMENTOS LTDA EPP
1762;7,48477E+11;4344287;1;28;BRASÍLIA;DF;GAMA;70000000;SETOR OESTE QUADRA 6 CL LTS 19/20;S/N;;5300108;8;GAMA;1;BRASILIA - DF;-16.008.312;-48.071.846;;ARAUJO & CINTRA
3665;7,72067E+11;22086459;1;92;BRASILIA;DF;NÚCLEO BANDEIRANTE;71710300;ROD. NB01 LT 268 LOJA 01;268;;5300108;1;ASA SUL;;;;;12;N R DISTRIBUIDORA DE BEBIDAS LTDA - ME
705;7,54366E+11;12245903;1;11;BRASÍLIA;DF;ASA NORTE;70856520;CLN 408 BLOCO B;18;;5300108;3;ASA NORTE/SOFN/NOROESTE;1;BRASILIA - DF;-15.760.143;-47.880.252;;PINELLA CAFE COMERCIAL DE ALIMENTOS LTDA ME
687;7,99076E+11;37752108;1;40;BRASILIA;DF;SUDOESTE;70673611;CLSW 302 ;S/N;;5300108;5;SUDOESTE/SIA/OCTOGONAL;1;BRASILIA - DF;-15.799.111;-47.922.682;;GRAO DE OURO PANIFICAÇÃO LTDA
2274;7,84574E+11;29685820;1;46;BRASILIA;DF;ASA NORTE;70744520;CLN 108 BLOCO B ;S/N;;5300108;3;ASA NORTE/SOFN/NOROESTE;1;BRASILIA - DF;;;;TORTAS E QUICHES CAFETERIA EIRELLI
2520;7,70673E+11;21684723;1;27;BRASILIA;DF;SUDOESTE;70670433;CLSW 105 BLOCO C;S/N;;5300108;5;SUDOESTE/SIA/OCTOGONAL;1;BRASILIA - DF;;;;ABENCOADO BAR E RESTAURANTE EIRELI EPP
2469;7,64983E+11;18459250;1;50;BRASILIA;DF;SUDOESTE;70673612;CLSW 302 BLOCO B;S/N;;5300108;5;SUDOESTE/SIA/OCTOGONAL;1;BRASILIA - DF;;;;BRUNA FERNANDES DE ASSIS PERBONI ME
