CodClientes;Faturado;SetorAtendim;Emissao;Saida;Transacao;CodProdut;Valor_prod;Qtd;Ganho
3110;S;5;20190128;20190128;37900;133;50.2;35;1757
3110;S;1;20190422;20190423;42269;87;60.3;32;1929.6
3110;S;5;20190523;20190526;43847;107;45.3;39;1766.7
3110;S;6;20190904;20190907;49157;69;38.9;13;505.7
3110;S;2;20191111;20191114;52620;65;47.6;51;2427.6
3110;S;2;20200127;20200127;56646;134;59;47;2773
3110;S;3;20200227;20200227;58210;68;12.5;34;425
3110;S;6;20210608;20210611;82215;77;68.4;44;3009.6
3110;S;2;20210627;20210627;83238;104;37.8;72;2721.6
3110;S;5;20210730;20210730;84960;117;73;11;803
3110;S;2;20210823;20210823;86099;64;20.6;25;515
2077;S;3;20190110;20190111;36913;80;57.5;37;2127.5
2077;S;7;20190130;20190130;37993;71;46.2;25;1155
2077;S;6;20190218;20190220;38941;67;15.7;41;643.7
2077;S;2;20190425;20190427;42424;96;65.9;10;659
2077;S;3;20190526;20190526;44023;109;32.9;16;526.4
2077;S;5;20190605;20190606;44463;63;17;32;544
2077;S;2;20190726;20190726;47229;102;61.6;28;1724.8
2077;S;2;20190927;20190927;50382;71;46.2;16;739.2
2077;S;3;20200117;20200119;56109;66;20;79;1580
2077;S;3;20210218;20210220;76621;115;34.6;8;276.8
2077;S;3;20210225;20210228;76987;85;41.1;74;3041.4
2077;S;7;20210727;20210727;84837;129;56.7;41;2324.7
2077;S;1;20210808;20210812;85357;94;32;72;2304
1728;S;1;20190502;20190504;42784;110;20.6;64;1318.4
1728;S;2;20190730;20190730;47401;62;19.2;22;422.4
1728;S;6;20190803;20190806;47580;68;12.5;58;725
1728;S;6;20190809;20190813;47903;96;65.9;36;2372.4
1728;S;6;20191017;20191019;51399;113;57.3;7;401.1
1728;S;6;20191127;20191127;53526;73;47.5;29;1377.5
1728;S;7;20191202;20191204;53791;134;59;40;2360
1728;S;2;20200207;20200208;57186;89;73.5;1;73.5
1728;S;1;20210220;20210221;76754;125;69.1;34;2349.4
1728;S;3;20210315;20210318;77969;68;12.5;46;575
1728;S;4;20210807;20210810;85325;118;57.1;41;2341.1
211;S;3;20190310;20190312;39999;122;29;78;2262
211;S;2;20190415;20190415;41875;75;40.7;41;1668.7
211;S;6;20190509;20190511;43154;99;28.6;32;915.2
211;S;2;20190708;20190710;46187;87;60.3;40;2412
211;S;5;20190808;20190811;47834;94;32;64;2048
211;S;1;20190914;20190917;49672;109;32.9;72;2368.8
211;S;3;20191113;20191116;52722;114;38;33;1254
211;S;3;20191219;20191223;54635;102;61.6;35;2156
211;S;1;20200329;20200329;59837;79;73.4;6;440.4
211;S;6;20210216;20210219;76526;106;72.1;6;432.6
211;S;1;20210412;20210412;79390;124;33.4;38;1269.2
211;S;2;20210529;20210529;81742;132;23.9;8;191.2
211;S;6;20210622;20210625;82964;116;35.9;44;1579.6
211;S;7;20210806;20210807;85256;119;24.5;38;931
211;S;3;20210807;20210807;85299;79;73.4;13;954.2
3131;S;1;20190202;20190203;38089;70;58.1;28;1626.8
3131;S;7;20190218;20190221;38919;134;59;15;885
3131;S;2;20190529;20190529;44134;95;42.9;51;2187.9
3131;S;2;20200221;20200225;57864;105;37.6;48;1804.8
3131;S;7;20200306;20200309;58626;126;69.4;10;694
3131;S;3;20200324;20200326;59513;115;34.6;10;346
3131;S;3;20210729;20210729;84917;111;63.9;21;1341.9
3131;S;2;20210815;20210816;85708;66;20;74;1480
3131;S;5;20210821;20210824;85981;68;12.5;60;750
3131;S;2;20210930;20210930;88047;118;57.1;31;1770.1
3131;N;5;20211017;20211018;88872;100;63.3;14;886.2
1715;S;1;20190111;20190111;37007;70;58.1;45;2614.5
1715;S;3;20190125;20190125;37734;108;50.5;16;808
1715;S;5;20190220;20190222;39026;102;61.6;21;1293.6
1715;S;2;20190224;20190227;39280;126;69.4;39;2706.6
1715;S;2;20190317;20190321;40401;118;57.1;9;513.9
1715;S;5;20190423;20190425;42302;105;37.6;27;1015.2
1715;S;1;20190709;20190710;46287;84;62.8;34;2135.2
1715;S;5;20190804;20190804;47635;64;20.6;52;1071.2
1715;S;7;20200212;20200215;57419;61;34;8;272
1715;S;2;20210409;20210411;79223;121;45.6;12;547.2
1715;N;2;20210410;20210411;79272;77;68.4;30;2052
1715;S;6;20210521;20210524;81353;111;63.9;11;702.9
1715;S;3;20210719;20210720;84422;119;24.5;39;955.5
1715;S;3;20211017;20211018;88904;114;38;26;988
2274;S;2;20190528;20190528;44111;91;67.9;11;746.9
2274;S;3;20190811;20190811;47971;81;56.6;16;905.6
2274;N;2;20190927;20190927;50402;103;35.9;24;861.6
2274;S;2;20191130;20191130;53682;109;32.9;42;1381.8
2274;S;3;20191218;20191222;54616;73;47.5;44;2090
2274;S;2;20210222;20210225;76877;64;20.6;18;370.8
1137;S;3;20190121;20190122;37520;66;20;75;1500
1137;N;1;20190418;20190419;42058;74;72.8;20;1456
1137;S;1;20190505;20190507;42953;76;59.7;76;4537.2
1137;S;7;20190730;20190730;47451;101;60.3;50;3015
1137;S;1;20191022;20191023;51666;84;62.8;16;1004.8
1137;S;1;20191029;20191029;52027;97;43.2;15;648
1137;S;3;20200208;20200208;57221;73;47.5;37;1757.5
1137;S;1;20200328;20200328;59785;117;73;7;511
1137;S;7;20210305;20210309;77410;94;32;45;1440
1137;S;1;20210424;20210425;80002;97;43.2;40;1728
1137;S;6;20210714;20210714;84117;117;73;7;511
