index;index;cnpj_basico;cnpj_ordem;cnpj_dv;identificador_matriz_filial;Situacao_Cadastral;data_inicio_atividade;uf;municipio;opcao_pelo_simples;opcao_mei;CodClientes;faturam_cancel;faturam_concluid;ST1;ST2;ST3;ST4;ST5;ST6;ST7;Qtd;valor_comprado;Interv_Transacao;duracao_transacao;Interv_Transacao_std;ultima_compra_ano;ultima_compra_mes;ultima_compra_dia;evasao;tempo_existencia
0;249;3502936;1;9;1;2;1999-11-05;DF;9701;0;0;1018;1;13;1;1;4;1;3;4;0;39.07142857142857;1278.3500000000001;73;1.9285714285714286;86.8979541638917;2021;9;20;0;22
1;250;3504618;1;87;1;2;1999-11-16;DF;9701;0;0;3506;3;20;4;2;2;5;3;5;2;30.695652173913043;877.4565217391304;39;1.7826086956521738;37.122869474442965;2021;6;2;1;22
2;646;741629;1;92;1;2;1984-03-22;DF;9701;1;0;3625;2;18;3;2;5;0;1;6;3;32.65;1367.65;49;1.7;49.901010043125375;2021;8;23;1;37
3;831;6098111;1;69;1;2;2004-01-16;DF;9701;0;0;3545;0;9;3;1;1;0;1;2;1;17.88888888888889;744.6333333333333;84;0.7777777777777778;39.94664410185166;2021;1;19;1;17
4;919;47508411;950;9;0;2;1998-02-12;DF;9701;0;0;3751;3;13;6;3;2;1;1;3;0;37.25;1411.8125;66;1.6875;63.72803325242528;2021;10;24;0;23
5;1658;683748;16;12;0;8;2003-08-06;DF;9701;0;0;2421;3;13;0;2;3;0;4;6;1;35.5;851.81875;59;2.0625;69.12005658433898;2021;8;30;0;18
6;2008;8466219;1;92;1;2;2006-11-13;DF;9701;0;0;3389;0;12;3;4;2;1;0;1;1;26.5;1229.5166666666667;88;1.1666666666666667;102.49708723940395;2021;10;4;0;15
7;2017;2379312;2;64;0;2;2006-11-23;DF;9701;0;0;805;2;20;4;9;2;0;2;3;2;27.0;1478.7772727272727;45;1.5454545454545454;47.43363904845046;2021;8;30;1;15
8;2191;8678216;1;12;1;2;2007-02-27;DF;9701;0;0;3724;0;18;5;3;4;0;2;3;1;35.388888888888886;874.4277777777778;59;1.2777777777777777;52.55038774923698;2021;10;20;0;14
9;2318;8801776;1;12;1;2;2007-04-17;DF;9701;1;0;1041;2;16;7;1;3;0;2;2;3;32.05555555555556;1405.0444444444445;54;2.111111111111111;53.69715153567257;2021;10;10;0;14
10;2426;8902225;1;45;1;2;2007-06-20;DF;9701;0;0;2115;0;19;6;3;3;0;2;4;1;32.10526315789474;928.2421052631578;49;1.3157894736842106;47.65167466905473;2021;9;7;0;14
11;2484;8605007;1;49;1;2;2007-01-10;DF;9701;1;0;1661;3;23;5;5;3;1;5;4;3;29.923076923076923;1478.9038461538462;36;1.9230769230769231;38.36260679359524;2021;9;18;0;14
12;2817;9178984;1;70;1;8;2007-10-01;DF;9701;0;0;992;3;15;3;2;2;1;4;5;1;26.833333333333332;1268.361111111111;52;1.7222222222222223;40.1524775485548;2021;7;8;1;14
13;3941;10213727;1;0;1;2;2008-07-16;DF;9701;1;0;330;2;12;4;2;0;1;1;5;1;36.285714285714285;1100.7642857142857;61;2.0;65.85594822914452;2021;3;30;1;13
14;4179;10539923;1;70;1;8;2008-12-16;DF;9701;0;0;661;5;15;7;0;2;0;2;8;1;38.15;1039.74;49;1.6;38.686752512256675;2021;9;22;0;13
15;4189;10545080;1;14;1;4;2008-12-17;DF;9701;0;0;334;1;19;3;4;2;0;5;6;0;26.7;1197.275;48;1.8;39.77882062903724;2021;8;21;1;13
16;4249;10580005;1;94;1;4;2009-01-09;DF;9701;0;0;3505;1;21;1;2;6;0;2;8;3;29.818181818181817;971.0;42;2.0;45.31151936150534;2021;9;1;1;12
17;4625;10852027;1;66;1;8;2009-05-20;DF;9701;0;0;264;0;20;4;3;2;0;3;5;3;35.7;1149.5149999999999;47;1.75;31.370540373479376;2021;7;20;1;12
18;4628;10852399;1;92;1;2;2009-05-22;DF;9701;0;0;1559;1;16;0;5;0;2;4;3;3;38.11764705882353;1056.0647058823529;59;1.8823529411764706;57.261427625846;2021;9;25;0;12
19;4663;10865078;1;22;1;2;2009-05-28;DF;9701;0;0;2578;2;14;5;2;1;0;2;4;2;45.3125;1440.11875;59;1.4375;55.87470109291165;2021;9;21;0;12
20;4990;11039010;1;57;1;2;2009-07-23;DF;9701;0;0;1091;2;16;1;4;4;0;3;4;2;34.666666666666664;1571.1333333333334;53;2.111111111111111;61.31957244956885;2021;8;9;1;12
21;5402;33053927;45;60;0;2;2009-10-07;DF;9701;0;0;1379;1;15;5;5;1;1;2;2;0;40.0;1051.88125;65;1.9375;97.37843703818622;2021;10;8;0;12
22;6100;38030169;6;71;0;8;2010-04-01;DF;9701;0;0;2691;3;15;4;2;2;1;4;3;2;46.833333333333336;2081.5555555555557;58;2.2777777777777777;54.379418048250905;2021;10;8;0;11
23;6128;11794798;1;7;1;8;2010-04-08;DF;9701;0;0;582;3;10;2;0;5;0;3;3;0;35.30769230769231;1755.423076923077;78;0.9230769230769231;72.10409142344143;2021;8;28;0;11
24;6146;11805733;1;10;1;2;2010-04-12;DF;9701;0;0;135;3;14;3;4;3;0;2;4;1;40.411764705882355;1189.5941176470587;52;1.4705882352941178;50.446754107672774;2021;10;14;0;11
25;6671;12210302;1;73;1;2;2010-07-07;DF;9701;0;0;3608;2;15;6;0;3;0;2;3;3;27.647058823529413;1408.0117647058823;61;1.7647058823529411;57.517931986468355;2021;10;12;0;11
26;7970;13243964;1;2;1;2;2011-02-09;DF;9701;0;0;3019;0;15;4;3;1;1;3;2;1;26.2;1218.26;68;2.2666666666666666;82.83755926202676;2021;10;1;0;10
27;8813;13896369;1;76;1;2;2011-06-15;DF;9701;0;0;155;1;12;0;1;5;0;2;4;1;34.84615384615385;1054.0307692307692;65;1.7692307692307692;48.51202600043278;2021;6;25;1;10
28;9283;14215808;1;9;1;8;2011-08-26;DF;9701;0;0;491;2;19;0;4;5;1;1;7;3;34.857142857142854;1017.7857142857143;45;2.5238095238095237;38.68074456367147;2021;7;16;1;10
29;9344;9106651;1;35;1;2;2007-10-01;DF;9701;0;0;2018;3;27;4;8;7;1;3;5;2;31.5;1607.6133333333335;33;1.7;35.283698189209886;2021;10;19;0;14
30;9652;14485385;1;39;1;2;2011-10-10;DF;9701;0;0;1023;3;12;3;4;3;0;0;5;0;37.53333333333333;1446.98;69;0.8;61.522892702884285;2021;9;26;0;10
31;9894;14653540;1;89;1;2;2011-11-18;DF;9701;1;0;1090;0;10;4;2;2;0;1;1;0;29.1;967.6600000000001;86;2.3;76.84536340302654;2021;3;23;1;10
